"Year","2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Province (NUTS 2 unit)","Vienna <AT13>",,,,,,,,,,,,,,"Not classifiable <0>",,,,,,,,,,,,,,
,"Useful energy category","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations",
"Sector","Fuels aggregated",
"Construction","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",38.17302,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",124.27242,,-,,6.3080908,,3.7303217,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,1955.820463,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gasoline",-,,-,,-,,34.4012282,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,0.001638,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",2.0127428,,-,,55.1135926,,12.4892728,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",192.6089876,,5.3765002,,156.6134501,,0.2192215,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Electricity",54.177317,,4.4114807,,32.3066549,,225.0221959,,-,,154.4019709,,-,,-,,-,,-,,-,,-,,-,,-,,
,"District heat",94.1697801,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",13.0282028,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",288.2601524,,-,,30.5321006,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",0.0288,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Textile and leather","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",8.2920192,,-,,5.6222652,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",5.7293345,,3.9983327,,0.0267787,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gasoline",-,,-,,-,,0.0684868,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",0.0853782,,0.7684036,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",5.747108,,25.8295188,,13.664706,,2.1103033,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Electricity",2.719363,,1.1505508,,0.5977235,,37.7222544,,-,,5.0705246,,-,,-,,-,,-,,-,,-,,-,,-,,
,"District heat",3.934963,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",0.8645892,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",2.102364,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
